date,net_pnl,equity,total_capital
2023-01-02,0.0,0.0,4336.020483080544
2023-01-03,0.0,0.0,4336.020483080544
2023-01-04,0.0,0.0,4336.020483080544
2023-01-05,0.0,0.0,4336.020483080544
2023-01-06,0.0,0.0,4336.020483080544
2023-01-09,0.0,0.0,4336.020483080544
2023-01-10,0.0,0.0,4336.020483080544
2023-01-11,0.0,0.0,4336.020483080544
2023-01-12,0.0,0.0,4336.020483080544
2023-01-13,0.0,0.0,4336.020483080544
2023-01-16,0.0,0.0,4336.020483080544
2023-01-17,0.0,0.0,4336.020483080544
2023-01-18,0.0,0.0,4336.020483080544
2023-01-19,0.0,0.0,4336.020483080544
2023-01-20,0.0,0.0,4336.020483080544
2023-01-23,0.0,0.0,4336.020483080544
2023-01-24,0.0,0.0,4336.020483080544
2023-01-25,0.0,0.0,4336.020483080544
2023-01-27,0.0,0.0,4336.020483080544
2023-01-30,0.0,0.0,4336.020483080544
2023-01-31,0.0,0.0,4336.020483080544
2023-02-01,0.0,0.0,4336.020483080544
2023-02-02,0.0,0.0,4336.020483080544
2023-02-03,0.0,0.0,4336.020483080544
2023-02-06,0.0,0.0,4336.020483080544
2023-02-07,0.0,0.0,4336.020483080544
2023-02-08,0.0,0.0,4336.020483080544
2023-02-09,0.0,0.0,4336.020483080544
2023-02-10,0.0,0.0,4336.020483080544
2023-02-13,0.0,0.0,4336.020483080544
2023-02-14,0.0,0.0,4336.020483080544
2023-02-15,0.0,0.0,4336.020483080544
2023-02-16,0.0,0.0,4336.020483080544
2023-02-17,0.0,0.0,4336.020483080544
2023-02-20,0.0,0.0,4336.020483080544
2023-02-21,0.0,0.0,4336.020483080544
2023-02-22,0.0,0.0,4336.020483080544
2023-02-23,0.0,0.0,4336.020483080544
2023-02-24,0.0,0.0,4336.020483080544
2023-02-27,0.0,0.0,4336.020483080544
2023-02-28,0.0,0.0,4336.020483080544
2023-03-01,0.0,0.0,4336.020483080544
2023-03-02,0.0,0.0,4336.020483080544
2023-03-03,0.0,0.0,4336.020483080544
2023-03-06,0.0,0.0,4336.020483080544
2023-03-08,0.0,0.0,4336.020483080544
2023-03-09,0.0,0.0,4336.020483080544
2023-03-10,0.0,0.0,4336.020483080544
2023-03-13,0.0,0.0,4336.020483080544
2023-03-14,0.0,0.0,4336.020483080544
2023-03-15,0.0,0.0,4336.020483080544
2023-03-16,0.0,0.0,4336.020483080544
2023-03-17,0.0,0.0,4336.020483080544
2023-03-20,0.0,0.0,4336.020483080544
2023-03-21,0.0,0.0,4336.020483080544
2023-03-22,0.0,0.0,4336.020483080544
2023-03-23,0.0,0.0,4336.020483080544
2023-03-24,0.0,0.0,4336.020483080544
2023-03-27,0.0,0.0,4336.020483080544
2023-03-28,-0.05948117900024343,-0.05948117900024343,4336.020483080544
2023-03-29,2.8271868626159926,2.767705683615749,4336.020483080544
2023-03-31,10.101904552921724,12.869610236537472,4336.020483080544
2023-04-03,12.54785788684391,25.417468123381383,4336.020483080544
2023-04-05,-2.4329318399111317,22.984536283470252,4336.020483080544
2023-04-06,2.2359463895589275,25.22048267302918,4336.020483080544
2023-04-10,0.26248430434120973,25.482966977370392,4336.020483080544
2023-04-11,-2.3155976895850454,23.16736928778535,4336.020483080544
2023-04-12,1.0017733264044386,24.169142614189788,4336.020483080544
2023-04-13,2.408007189065393,26.577149803255182,4336.020483080544
2023-04-17,3.798142459862087,30.37529226311727,4336.020483080544
2023-04-18,4.82343585313248,35.198728116249754,4336.020483080544
2023-04-19,-0.3627413527146275,34.835986763535125,4336.020483080544
2023-04-20,6.089327343189136,40.92531410672426,4336.020483080544
2023-04-21,0.28354561515103627,41.20885972187529,4336.020483080544
2023-04-24,-2.17595971138082,39.03290001049447,4336.020483080544
2023-04-25,0.8451745672725098,39.87807457776698,4336.020483080544
2023-04-26,-3.4806360715855087,36.39743850618147,4336.020483080544
2023-04-27,-0.027485059236029702,36.369953446945445,4336.020483080544
2023-04-28,-8.840396271862204,27.52955717508324,4336.020483080544
2023-05-02,5.742435109441816,33.271992284525055,4336.020483080544
2023-05-03,-8.681627192995405,24.590365091529648,4336.020483080544
2023-05-04,-11.132275290016532,13.458089801513117,4336.020483080544
2023-05-05,-12.366080840479926,1.0920089610331907,4336.020483080544
2023-05-08,16.047047653134026,17.139056614167217,4336.020483080544
2023-05-09,11.86696565722043,29.006022271387646,4336.020483080544
2023-05-10,-6.6172942238223245,22.388728047565323,4336.020483080544
2023-05-11,-4.074702971901299,18.314025075664023,4336.020483080544
2023-05-12,-13.794700982336952,4.5193240933270715,4336.020483080544
2023-05-15,8.96112500465584,13.48044909798291,4336.020483080544
2023-05-16,-12.86998443477339,0.6104646632095214,4336.020483080544
2023-05-17,11.040069730752844,11.650534393962365,4336.020483080544
2023-05-18,-0.35551609953127183,11.295018294431094,4336.020483080544
2023-05-19,-3.6127308785830303,7.682287415848063,4336.020483080544
2023-05-22,-1.6773700419747124,6.004917373873351,4336.020483080544
2023-05-23,2.67915239823013,8.68406977210348,4336.020483080544
2023-05-24,0.9561726967968618,9.640242468900343,4336.020483080544
2023-05-25,-17.755433692079315,-8.115191223178972,4336.020483080544
2023-05-26,19.577783583030612,11.46259235985164,4336.020483080544
