year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2023,0.0,0.0,0.29680695206020347,0.3380968100992581,0.24121404191154067,0.3031160387691331,0.34652337051258353,1.4474702109840276,1.1109874789411067,1.4258440891204327,1.2177288530830932,3.759109715408055,10.486897560889433
2024,2.295259317677102,-0.7962512425261111,1.5133888275016416,2.430404959865361,1.7344036756232022,1.2730988002116572,1.998232508953331,2.052092500167219,1.2956319064874982,2.1511557273519126,1.2039799139679424,-1.1173204496075189,16.034076445673236
2025,2.864166770552213,0.7383715213556064,6.693968897055208,1.4294522209876495,4.494652833232725,3.4281819042707924,-0.10766049022630608,1.2371141284822522,5.0445584428360535,0.3713948561165,2.309915166671638,-1.0893584582612117,27.414757793073125
2026,1.6361987066675374,5.839433242179157,-1.2166249081838656,5.106295989879736,6.255626108790309,,,,,,,,17.620929139332876
Average,1.6989061987242131,1.4453883802521634,1.821884942108297,2.326062495208001,3.1814741648894445,1.6681322477505276,0.7456984630798696,1.5788922798778329,2.4837259427548863,1.316131557529615,1.5772079779075576,0.5174769358464415,17.889165234742165
