year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2025,0.0,0.0,-60.57681896740159,-179.850958530733,736.698480904866,165.91041088173776,-7.606236663411607,126.5223826320892,194.57977035212102,131.08078673480696,86.61982795004684,-6.355281004582082,1187.0223642895394
2026,-18.929931023628075,-24.42142011889661,-458.4484019921318,343.26736650761615,-202.0399941387403,,,,,,,,-360.5723807657806
