date,net_pnl,equity,total_capital
2024-01-02,0.0,0.0,27145.65930085067
2024-01-03,-0.26845186692936235,-0.26845186692936235,27145.65930085067
2024-01-04,-14.904657765996632,-15.173109632925994,27145.65930085067
2024-01-05,8.180224515991672,-6.992885116934323,27145.65930085067
2024-01-08,-8.265680664551445,-15.258565781485768,27145.65930085067
2024-01-09,-8.460608829329306,-23.719174610815074,27145.65930085067
2024-01-10,21.427934383459583,-2.291240227355491,27145.65930085067
2024-01-11,-26.69468700242573,-28.985927229781222,27145.65930085067
2024-01-12,0.7097959256467603,-28.276131304134463,27145.65930085067
2024-01-15,-4.057498624382154,-32.333629928516615,27145.65930085067
2024-01-16,-8.514780312826174,-40.84841024134279,27145.65930085067
2024-01-17,-17.169226000426615,-58.01763624176941,27145.65930085067
2024-01-18,-12.625177554117014,-70.64281379588643,27145.65930085067
2024-01-19,19.41048328550976,-51.23233051037667,27145.65930085067
2024-01-20,7.854413665040595,-43.377916845336074,27145.65930085067
2024-01-23,22.886171984105076,-20.491744861231,27145.65930085067
2024-01-24,41.46015439017898,20.96840952894798,27145.65930085067
2024-01-25,-26.53593154929838,-5.567522020350399,27145.65930085067
2024-01-29,-40.19925634104126,-45.76677836139166,27145.65930085067
2024-01-30,-22.213664239236863,-67.98044260062852,27145.65930085067
2024-01-31,22.150755996672867,-45.82968660395565,27145.65930085067
2024-02-01,-57.07968956925555,-102.9093761732112,27145.65930085067
2024-02-02,53.89737741251202,-49.01199876069918,27145.65930085067
2024-02-05,-30.489508059267603,-79.50150681996678,27145.65930085067
2024-02-06,-32.21602769399811,-111.71753451396489,27145.65930085067
2024-02-07,17.577200063036525,-94.14033445092836,27145.65930085067
2024-02-08,-87.90943111793788,-182.04976556886623,27145.65930085067
2024-02-09,0.8092735320874593,-181.2404920367788,27145.65930085067
2024-02-12,82.4060477043152,-98.83444433246359,27145.65930085067
2024-02-13,-16.235499798260477,-115.06994413072407,27145.65930085067
2024-02-14,-109.85585177393324,-224.92579590465732,27145.65930085067
2024-02-15,-73.76231319189466,-298.688109096552,27145.65930085067
2024-02-16,-55.31426994265308,-354.0023790392051,27145.65930085067
2024-02-19,-2.3720984533540124,-356.3744774925591,27145.65930085067
2024-02-20,46.3407017196236,-310.0337757729355,27145.65930085067
2024-02-21,14.162191019399042,-295.87158475353647,27145.65930085067
2024-02-22,1.1774463143397167,-294.69413843919676,27145.65930085067
2024-02-23,22.46781100566644,-272.22632743353034,27145.65930085067
2024-02-26,6.309374645740837,-265.9169527877895,27145.65930085067
2024-02-27,13.708085144120988,-252.20886764366853,27145.65930085067
2024-02-28,25.32783740680761,-226.8810302368609,27145.65930085067
2024-02-29,-58.94951419082703,-285.8305444276879,27145.65930085067
2024-03-01,-8.045996793917663,-293.8765412216056,27145.65930085067
2024-03-02,0.2807225273220392,-293.59581869428354,27145.65930085067
2024-03-04,20.034690660224157,-273.5611280340594,27145.65930085067
2024-03-05,15.505990213354348,-258.05513782070506,27145.65930085067
2024-03-06,19.977033320467022,-238.07810450023803,27145.65930085067
2024-03-07,-11.669661334971025,-249.74776583520907,27145.65930085067
2024-03-11,28.482723409358957,-221.2650424258501,27145.65930085067
2024-03-12,105.28480332173419,-115.98023910411592,27145.65930085067
2024-03-13,66.13658258155735,-49.843656522558575,27145.65930085067
2024-03-14,-34.64964061826782,-84.4932971408264,27145.65930085067
2024-03-15,-0.23896554357050914,-84.73226268439691,27145.65930085067
2024-03-18,2.718348962012729,-82.01391372238419,27145.65930085067
2024-03-19,59.68223725751954,-22.33167646486465,27145.65930085067
2024-03-20,-28.42181171213526,-50.75348817699991,27145.65930085067
2024-03-21,-65.80437143825371,-116.55785961525362,27145.65930085067
2024-03-22,-14.80606865606223,-131.36392827131584,27145.65930085067
2024-03-26,-31.911237723184154,-163.2751659945,27145.65930085067
2024-03-27,1.4392960904462768,-161.8358699040537,27145.65930085067
2024-03-28,-0.8797290451787735,-162.7155989492325,27145.65930085067
2024-04-01,-47.263590722223455,-209.97918967145594,27145.65930085067
