year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2024,-0.16882878435934492,-0.8841224122201048,0.45353455635022055,-0.28916661891675427,-0.15281181152368836,-0.3963402314004306,0.5324237588162003,-0.1072936581020658,0.12193842027056849,-0.3608691400841484,-0.1171457722154802,0.04047571572568946,-1.328205977659338
2025,0.6959236231157556,0.7061158323258775,0.28441897268648225,-0.22718125612770015,0.541101247860881,-0.40353487333727284,0.06969570688140211,-0.03723670043226093,0.6031400909400365,-0.5080869616165448,0.2380921946710863,-0.11333390158714841,1.8491139753805945
2026,-0.9589691677061332,0.1677524337175377,0.7660952261333053,0.9558960002832058,0.32890232736045105,,,,,,,,1.2596768197883668
Average,-0.14395810964990746,-0.0034180487255632,0.5013495850566694,0.14651604174625046,0.23906392123254797,-0.39993755236885176,0.30105973284880116,-0.07226517926716337,0.36253925560530254,-0.4344780508503465,0.060473211227803046,-0.036429092930729476,0.5935282725032077
