date,equity,dd,deepening,regime,chop_score
2025-01-01,0.0,0.0,-0.0,,
2025-01-02,0.0,0.0,-0.0,,
2025-01-03,0.0,0.0,-0.0,,
2025-01-06,0.0,0.0,-0.0,,
2025-01-07,0.0,0.0,-0.0,,
2025-01-08,0.0,0.0,-0.0,,
2025-01-09,0.0,0.0,-0.0,,
2025-01-10,0.0,0.0,-0.0,,
2025-01-13,0.0,0.0,-0.0,,
2025-01-14,0.0,0.0,-0.0,,
2025-01-15,0.0,0.0,-0.0,,
2025-01-16,0.0,0.0,-0.0,,
2025-01-17,0.0,0.0,-0.0,,
2025-01-20,0.0,0.0,-0.0,,
2025-01-21,0.0,0.0,-0.0,,
2025-01-22,0.0,0.0,-0.0,,
2025-01-23,0.0,0.0,-0.0,,
2025-01-24,0.0,0.0,-0.0,,
2025-01-27,0.0,0.0,-0.0,,
2025-01-28,0.0,0.0,-0.0,,
2025-01-29,0.0,0.0,-0.0,normal,0.5304257039936996
2025-01-30,0.0,0.0,-0.0,normal,0.48944786225249354
2025-01-31,0.0,0.0,-0.0,whipsaw,0.39945601686611365
2025-02-01,0.0,0.0,-0.0,whipsaw,0.4279115847226235
2025-02-03,0.0,0.0,-0.0,normal,0.530330323748214
2025-02-04,0.0,0.0,-0.0,normal,0.4995205249143112
2025-02-05,0.0,0.0,-0.0,whipsaw,0.3486646028900906
2025-02-06,0.0,0.0,-0.0,whipsaw,0.3568867280744773
2025-02-07,0.0,0.0,-0.0,whipsaw,0.4415583089617715
2025-02-10,0.0,0.0,-0.0,normal,0.47832174088983387
2025-02-11,0.0,0.0,-0.0,whipsaw,0.43849294201967637
2025-02-12,0.0,0.0,-0.0,whipsaw,0.44807548151458315
2025-02-13,0.0,0.0,-0.0,normal,0.4754194626776448
2025-02-14,0.0,0.0,-0.0,normal,0.5573806213969038
2025-02-17,0.0,0.0,-0.0,normal,0.5611323013503784
2025-02-18,0.0,0.0,-0.0,normal,0.5771984958225764
2025-02-19,0.0,0.0,-0.0,normal,0.5227625852567489
2025-02-20,0.0,0.0,-0.0,whipsaw,0.43395943317357544
2025-02-21,0.0,0.0,-0.0,normal,0.47944262584641495
2025-02-24,0.0,0.0,-0.0,whipsaw,0.4190219599587176
2025-02-25,0.0,0.0,-0.0,whipsaw,0.4019224272729237
2025-02-27,0.0,0.0,-0.0,normal,0.49929976500124956
2025-02-28,0.0,0.0,-0.0,whipsaw,0.4067045234671385
2025-03-03,0.0,0.0,-0.0,whipsaw,0.3173544628484363
2025-03-04,0.0,0.0,-0.0,whipsaw,0.40422612042627715
2025-03-05,0.0,0.0,-0.0,whipsaw,0.4485884626813136
2025-03-06,0.0,0.0,-0.0,normal,0.487037189860424
2025-03-07,0.0,0.0,-0.0,normal,0.5445844687889343
2025-03-10,0.0,0.0,-0.0,normal,0.5439248159850233
2025-03-11,0.0,0.0,-0.0,normal,0.5183240280670768
2025-03-12,0.0,0.0,-0.0,normal,0.619891821133479
2025-03-13,0.0,0.0,-0.0,normal,0.6162163329016246
2025-03-17,0.0,0.0,-0.0,normal,0.5575632588486789
2025-03-18,0.0,0.0,-0.0,normal,0.5733718957628278
2025-03-19,0.0,0.0,-0.0,normal,0.603723177862612
2025-03-20,0.0,0.0,-0.0,normal,0.6018837857943234
2025-03-21,0.0,0.0,-0.0,normal,0.5894338283836493
2025-03-24,0.0,0.0,-0.0,normal,0.6511143504770531
2025-03-25,0.0,0.0,-0.0,normal,0.6102591356929289
2025-03-26,-0.05083409946983329,-0.05083409946983329,0.05083409946983329,normal,0.5182282617880029
2025-03-27,31.88102235636235,0.0,0,normal,0.629216792720491
2025-03-28,-60.57681896740159,-92.45784132376394,92.45784132376394,normal,0.5643223708000159
2025-04-01,24.942469233729724,-6.9385531226326265,0,normal,0.5845524563412211
2025-04-02,31.150011663202026,-0.7310106931603251,0,normal,0.5764157248908849
2025-04-03,-12.713951137630435,-44.59497349399278,43.863962800832454,normal,0.5114566879009155
2025-04-04,-133.2966653737141,-165.17768773007646,120.58271423608367,normal,0.588051076320041
2025-04-07,75.25988507099757,0.0,0,normal,0.6125477863749188
2025-04-08,-22.37779686809526,-97.63768193909283,97.63768193909283,normal,0.6010714429821085
2025-04-09,-55.39643165805193,-130.6563167290495,33.01863478995668,normal,0.568719641909591
2025-04-11,-23.947519380198756,-99.20740445119633,0,normal,0.5780269627048752
2025-04-15,13.999551152685605,-61.260333918311964,0,normal,0.5739521255081975
2025-04-16,1.880851558821874,-73.3790335121757,12.118699593863731,normal,0.6190555871916764
2025-04-17,-172.5853052740792,-247.84519034507676,174.46615683290105,normal,0.6790106325258087
2025-04-21,-235.67408548472758,-310.9339705557252,63.08878021064842,normal,0.6771422163899352
2025-04-22,-260.68037420817217,-335.9402592791697,25.006288723444527,normal,0.6787539372687525
2025-04-23,-198.55849561899646,-273.818380689994,0,normal,0.6809401619012504
2025-04-24,-292.5266873745228,-367.7865724455204,93.96819175552639,normal,0.6694424638441862
2025-04-25,-202.86302759112124,-278.1229126621188,0,normal,0.5979992566357482
2025-04-28,-322.71673604756825,-397.97662111856584,119.85370845644707,normal,0.6191401796669214
2025-04-29,-287.30700854872885,-362.56689361972644,0,normal,0.6258174635909616
2025-04-30,-240.4277774981346,-315.68766256913216,0,normal,0.5537109865809878
2025-05-02,-101.67926440162037,-176.93914947261794,0,normal,0.5225795560720538
2025-05-05,89.41417073316774,0.0,0,normal,0.5315280537065559
2025-05-06,90.1657386627089,0.0,-0.0,whipsaw,0.4086905465090957
2025-05-07,136.04216411222302,0.0,-0.0,whipsaw,0.36276084484288723
2025-05-08,128.90436677981012,-7.137797332412902,7.137797332412902,whipsaw,0.3622912762033304
2025-05-09,173.97724369019227,0.0,0,normal,0.4939869497614955
2025-05-12,162.12999651511012,-11.847247175082146,11.847247175082146,normal,0.49678893762425064
2025-05-13,200.6159073631287,0.0,0,whipsaw,0.44989824752212976
2025-05-14,257.57947914137895,0.0,-0.0,whipsaw,0.444498173441431
2025-05-15,284.79300744854186,0.0,-0.0,whipsaw,0.44413948429533384
2025-05-16,405.85114828069845,0.0,-0.0,whipsaw,0.4411389026172071
2025-05-19,420.9478596450718,0.0,-0.0,whipsaw,0.3982462456534964
2025-05-20,432.2692949906717,0.0,-0.0,normal,0.484845274477636
2025-05-21,441.9059158421792,0.0,-0.0,normal,0.4655566801550818
2025-05-22,435.3745924287295,-6.531323413449684,6.531323413449684,normal,0.5168199111187547
2025-05-23,432.08857082089986,-9.817345021279323,3.286021607829639,normal,0.467841088374869
2025-05-26,432.4113822303502,-9.494533611828956,0,normal,0.505499344905556
2025-05-27,442.04600494912125,0.0,0,normal,0.5183514150739618
2025-05-28,458.1271215928208,0.0,-0.0,normal,0.5021537713231734
2025-05-29,478.02326825107264,0.0,-0.0,normal,0.457411947949948
2025-05-30,496.27070340673134,0.0,-0.0,normal,0.4843406388293822
2025-06-02,504.0272217156873,0.0,-0.0,whipsaw,0.3442084460185157
2025-06-03,509.4319645697096,0.0,-0.0,whipsaw,0.4162694485897031
2025-06-04,502.1854780352266,-7.246486534482983,7.246486534482983,whipsaw,0.3586225657589132
2025-06-05,485.568252098274,-23.863712471435576,16.617225936952593,whipsaw,0.42704966962777097
2025-06-06,472.3706715570011,-37.06129301270846,13.197580541272885,normal,0.47158963846358576
2025-06-09,475.3400209470322,-34.09194362267738,0,whipsaw,0.4473593922775819
2025-06-10,501.36699170434423,-8.064972865365348,0,normal,0.4776036114349192
2025-06-11,503.1666485703271,-6.265315999382494,0,normal,0.5170127677345243
2025-06-12,515.3599468524437,0.0,0,normal,0.5409472365975387
2025-06-13,570.2540027343873,0.0,-0.0,normal,0.4985874738965932
2025-06-16,529.5581709976261,-40.69583173676119,40.69583173676119,normal,0.542351965099597
2025-06-17,580.7324134889182,0.0,0,normal,0.5421806957312922
2025-06-18,570.0457765949975,-10.68663689392065,10.68663689392065,normal,0.5689491132761083
2025-06-19,595.6987703427142,0.0,0,normal,0.6648949915900827
2025-06-20,589.6662058952687,-6.032564447445452,6.032564447445452,normal,0.6662276465290091
2025-06-23,606.221161644201,0.0,0,normal,0.6397697440737616
